label,grid,dt_min,days_per_hr,ms_per_step,e2e_days_per_hr,run,date
P0 full ECHAM,T63L95,12.0,51.6,582,47,base_echam_l95_10d,2026-09-02
P0 full ECHAM,T63L95,15.0,51.9,723,47,base_echam_l95_10d_dt15,2026-09-02
P1 dry HS,T63L95,12.0,6000.0,5,991,p1_dry_30d,2026-09-02
P1 dry HS,T63L95,12.0,5786.9,5,2368,p1_dry_1yr,2026-09-02
P2 SD,T63L95,12.0,5454.5,6,2326,p2_sd_1yr,2026-09-03
P3 tracers,T63L95,12.0,4458.4,7,2082,p3_tracers_1yr,2026-09-03
P4 2005,T63L95,12.0,4461.7,7,2092,p4_2005,2026-09-03
P4 2006,T63L95,12.0,4473.3,7,2079,p4_2006,2026-09-03
P4 2007,T63L95,12.0,4478.3,7,2099,p4_2007,2026-09-03
P4 2008,T63L95,12.0,4466.8,7,2088,p4_2008,2026-09-03
P4 2009,T63L95,12.0,4456.8,7,2079,p4_2009,2026-09-03
P6 PK,T63L95,12.0,4445.3,7,2012,p6_pk_g4_t15_s05_top3,2026-09-03
P6 ref full ECHAM+SD,T63L95,12.0,139.9,214,131,ref_echam_sd_2005,2026-09-03
P7 dt30,T63L95,30.0,10432.5,7,1891,p7_dt30,2026-09-03
P7 dt30_it2,T63L95,30.0,8602.0,9,1478,p7_dt30_it2,2026-09-03
P7 dt45_it2,T63L95,45.0,12369.2,9,1505,p7_dt45_it2,2026-09-03
P8 QBO,T63L95,12.0,3803.2,8,1736,p8_qbo_2005,2026-09-04
P8 2005,T63L95,12.0,3871.6,8,2144,p8_2005,2026-09-05
P8 2006,T63L95,12.0,3818.9,8,2116,p8_2006,2026-09-05
P8 2007,T63L95,12.0,3958.0,8,2194,p8_2007,2026-09-05
P8 2008,T63L95,12.0,3885.6,8,2174,p8_2008,2026-09-05
P8 2009,T63L95,12.0,3866.6,8,2151,p8_2009,2026-09-05
P8b 2005,T63L95,12.0,3901.6,8,1874,p8b_2005,2026-09-09
P8b 2006,T63L95,12.0,3890.3,8,1872,p8b_2006,2026-09-09
P8b 2007,T63L95,12.0,3906.7,8,1896,p8b_2007,2026-09-09
P8b 2008,T63L95,12.0,3931.1,8,1904,p8b_2008,2026-09-09
P8b 2009,T63L95,12.0,3889.1,8,1883,p8b_2009,2026-09-09
P9 T63L95,T63L95,12.0,3783.5,8,1469,p8b_5yr,2026-09-09
P9 T63L63,T63L63,12.0,5374.1,6,1750,p9_t63l63_5yr,2026-09-09
P9 T63L95,T63L95,12.0,3783.5,8,1469,p8b_5yr,2026-09-09
P9 T63L47,T63L47,12.0,6228.3,5,1948,p9_t63l47_5yr,2026-09-09
